frame_colour,frame_surface,frame_material,size_horizontal_[m],size_vertical_[m],frame_depth_[cm]
3,1,2,1.29,1.34,4.50
3,1,2,1.36,2.37,5.50
3,1,2,1.39,1.45,4.00
0,2,2,1.42,1.45,6.00
2,0,0,2.16,1.23,9.00
2,0,0,1.75,0.57,9.00
2,0,0,0.69,0.56,9.00
2,0,0,0.86,1.60,10.00
0,1,2,1.58,1.29,7.00
0,1,2,1.78,1.20,7.00
0,1,2,1.19,1.28,7.00
2,0,0,1.17,0.94,9.00
2,0,0,0.96,0.58,9.00
3,2,1,1.85,1.53,8.00
3,2,2,1.28,1.32,8.00
3,1,2,1.27,1.31,8.00
3,2,1,1.16,2.58,7.00
3,2,1,0.42,2.01,7.00
3,1,2,1.13,1.83,9.00
3,2,1,1.19,1.87,4.00
3,2,1,1.23,1.23,8.00
3,1,1,3.25,1.34,6.50
3,2,1,0.96,2.18,6.00
3,2,1,1.21,1.21,6.00
3,2,1,1.59,1.47,6.50
1,3,2,3.11,2.02,6.00
1,3,2,3.12,2.01,6.00
1,3,2,1.55,2.84,6.00
